,North,South,East,West,Central,OverallReading
6:00am,40,36,38,36,34,34-40
7:00am,41,36,38,36,34,34-41
8:00am,42,36,38,36,34,34-42
9:00am,42,36,38,37,34,34-42
10:00am,41,36,38,37,34,34-41
11:00am,41,36,37,36,34,34-41
12:00pm,40,36,37,36,34,34-40
1:00pm,39,35,37,36,33,33-39
2:00pm,39,35,36,36,34,34-39
3:00pm,38,35,36,35,33,33-38
4:00pm,38,35,35,35,33,33-38
5:00pm,37,34,35,34,33,33-37
6:00pm,37,34,35,34,33,33-37
7:00pm,36,33,34,34,32,32-36
8:00pm,36,33,34,34,32,32-36
9:00pm,35,33,34,34,32,32-35
10:00pm,35,33,34,34,31,31-35
11:00pm,34,32,33,33,30,30-34
12:00am,34,32,33,34,30,30-34
23/1/2014
1:00am,34,33,33,34,31,31-34
2:00am,33,33,34,34,31,31-34
3:00am,33,33,34,34,32,32-34
4:00am,33,34,34,35,32,32-35
5:00am,33,35,35,35,33,33-35
6:00am,33,36,36,36,34,33-36
7:00am,35,37,38,36,34,34-38
8:00am,34,37,36,37,35,34-37
9:00am,34,38,36,37,36,34-38
10:00am,35,39,38,38,37,35-39
11:00am,36,40,39,40,38,36-40
12:00pm,37,41,39,40,39,37-41
1:00pm,37,41,40,41,39,37-41
2:00pm,38,42,40,42,40,38-42
3:00pm,38,43,41,43,40,38-43
4:00pm,39,44,42,44,41,39-44
5:00pm,40,45,42,44,42,40-45
6:00pm,41,46,43,45,42,41-46
7:00pm,42,46,44,45,43,42-46
8:00pm,42,47,44,46,44,42-47
9:00pm,43,47,45,46,44,43-47
10:00pm,43,48,45,47,45,43-48
11:00pm,44,48,45,47,45,44-48
12:00am,44,49,45,47,46,44-49
24/1/2014
1:00am,45,49,45,48,45,45-49
2:00am,46,49,45,48,45,45-49
3:00am,46,49,45,48,45,45-49
4:00am,47,49,45,48,45,45-49
5:00am,47,48,45,48,45,45-48
6:00am,47,48,45,48,45,45-48
7:00am,48,48,45,48,45,45-48
8:00am,48,48,45,47,45,45-48
9:00am,49,48,45,47,45,45-49
10:00am,48,48,45,47,44,44-48
11:00am,48,48,45,47,44,44-48
12:00pm,48,48,45,47,44,44-48
1:00pm,49,48,45,46,44,44-49
2:00pm,49,48,45,46,44,44-49
3:00pm,49,48,45,46,44,44-49
4:00pm,49,48,45,46,44,44-49
5:00pm,49,48,45,46,45,45-49
6:00pm,48,48,45,46,44,44-48
7:00pm,48,48,45,46,44,44-48
8:00pm,48,48,45,46,45,45-48
9:00pm,49,48,46,46,45,45-49
10:00pm,49,48,46,47,45,45-49
11:00pm,50,49,46,48,46,46-50
12:00am,49,48,46,47,46,46-49
25/1/2014
1:00am,48,48,46,47,45,45-48
2:00am,48,48,46,47,45,45-48
3:00am,48,48,46,46,45,45-48
4:00am,48,47,46,46,44,44-48
5:00am,48,47,46,46,44,44-48
6:00am,47,47,45,46,44,44-47
7:00am,47,46,45,45,44,44-47
8:00am,46,46,44,45,43,43-46
9:00am,45,45,44,45,43,43-45
10:00am,45,45,44,45,42,42-45
11:00am,45,45,43,44,42,42-45
12:00pm,45,44,43,44,41,41-45
1:00pm,44,44,42,44,41,41-44
2:00pm,44,44,42,44,41,41-44
3:00pm,45,44,42,44,40,40-45
4:00pm,45,44,41,44,40,40-45
5:00pm,45,43,41,44,41,41-45
6:00pm,46,44,41,44,41,41-46
7:00pm,46,44,41,44,41,41-46
8:00pm,46,44,40,44,41,40-46
9:00pm,46,44,40,43,41,40-46
10:00pm,46,44,40,43,40,40-46
11:00pm,46,43,39,43,40,39-46
12:00am,46,43,39,43,39,39-46
26/1/2014
1:00am,46,42,38,42,39,38-46
2:00am,45,42,38,42,39,38-45
3:00am,45,42,38,42,39,38-45
4:00am,45,42,38,42,40,38-45
5:00am,45,42,38,42,39,38-45
6:00am,45,42,38,42,39,38-45
7:00am,45,42,39,42,39,39-45
8:00am,45,42,39,42,39,39-45
9:00am,44,42,38,41,40,38-44
10:00am,44,42,38,41,40,38-44
11:00am,44,41,38,41,40,38-44
12:00pm,43,41,38,41,40,38-43
1:00pm,43,41,38,41,40,38-43
2:00pm,42,41,38,41,40,38-42
3:00pm,42,41,38,40,40,38-42
4:00pm,42,41,38,40,40,38-42
5:00pm,42,41,38,40,39,38-42
6:00pm,41,40,37,40,39,37-41
7:00pm,41,40,37,40,39,37-41
8:00pm,41,40,37,40,38,37-41
9:00pm,40,40,37,40,38,37-40
10:00pm,39,40,37,40,38,37-40
11:00pm,39,40,36,39,38,36-40
12:00am,39,40,36,39,38,36-40
27/1/2014
1:00am,40,40,36,39,38,36-40
2:00am,39,40,35,39,38,35-40
3:00am,39,40,35,39,38,35-40
4:00am,38,39,34,39,37,34-39
5:00am,38,39,34,39,37,34-39
6:00am,38,39,34,38,37,34-39
7:00am,37,38,33,37,37,33-38
8:00am,37,38,33,37,37,33-38
9:00am,37,38,32,37,36,32-38
10:00am,37,37,32,37,36,32-37
11:00am,37,37,32,36,35,32-37
12:00pm,37,37,32,36,35,32-37
1:00pm,36,37,32,36,35,32-37
2:00pm,36,37,32,36,34,32-37
3:00pm,36,36,31,35,34,31-36
4:00pm,35,35,31,35,34,31-35
5:00pm,34,35,31,34,33,31-35
6:00pm,34,34,30,33,33,30-34
7:00pm,33,33,30,33,32,30-33
8:00pm,33,33,30,33,32,30-33
9:00pm,32,33,30,32,32,30-33
10:00pm,32,33,30,32,32,30-33
11:00pm,32,32,30,32,32,30-32
12:00am,32,32,30,31,31,30-32
28/1/2014
1:00am,32,31,30,31,31,30-32
2:00am,31,31,30,31,30,30-31
3:00am,31,31,30,31,30,30-31
4:00am,32,31,30,30,30,30-32
5:00am,32,31,29,31,29,29-32
6:00am,33,31,29,31,30,29-33
7:00am,33,31,29,31,30,29-33
8:00am,33,31,29,31,30,29-33
9:00am,33,31,28,31,30,28-33
10:00am,33,32,28,31,30,28-33
11:00am,34,31,28,31,30,28-34
12:00pm,34,32,28,31,30,28-34
1:00pm,35,32,28,31,30,28-35
2:00pm,35,32,28,31,30,28-35
3:00pm,35,32,28,31,30,28-35
4:00pm,36,32,29,31,30,29-36
5:00pm,36,32,29,31,30,29-36
6:00pm,36,32,29,31,30,29-36
7:00pm,37,33,29,31,30,29-37
8:00pm,37,33,29,31,30,29-37
9:00pm,38,33,29,31,30,29-38
10:00pm,38,33,29,31,30,29-38
11:00pm,38,33,28,31,29,28-38
12:00am,38,32,28,32,29,28-38
29/1/2014
1:00am,38,32,28,32,28,28-38
2:00am,38,32,28,32,28,28-38
3:00am,38,32,27,31,28,27-38
4:00am,37,32,27,32,28,27-37
5:00am,37,32,28,31,28,28-37
6:00am,37,31,28,31,28,28-37
7:00am,36,31,28,31,27,27-36
8:00am,36,31,27,31,27,27-36
9:00am,36,31,27,31,27,27-36
10:00am,36,31,27,31,27,27-36
11:00am,35,30,27,30,27,27-35
12:00pm,35,30,27,30,26,26-35
1:00pm,35,30,27,30,26,26-35
2:00pm,34,30,26,30,26,26-34
3:00pm,34,29,26,30,26,26-34
4:00pm,34,29,26,29,25,25-34
5:00pm,33,29,25,29,25,25-33
6:00pm,33,29,25,28,25,25-33
7:00pm,32,28,25,28,24,24-32
8:00pm,32,28,25,27,24,24-32
9:00pm,32,27,25,27,23,23-32
10:00pm,31,27,25,26,23,23-31
11:00pm,31,27,25,26,24,24-31
12:00am,31,27,26,26,24,24-31
30/1/2014
1:00am,30,27,27,26,23,23-30
2:00am,30,27,27,25,23,23-30
3:00am,30,27,27,25,23,23-30
4:00am,30,27,27,25,23,23-30
5:00am,30,27,27,25,23,23-30
6:00am,29,27,28,25,23,23-29
7:00am,29,26,28,25,23,23-29
8:00am,29,26,28,25,23,23-29
9:00am,29,26,29,25,23,23-29
10:00am,29,25,29,24,22,22-29
11:00am,29,25,29,24,22,22-29
12:00pm,30,25,29,24,22,22-30
1:00pm,30,25,29,24,22,22-30
2:00pm,29,24,29,24,22,22-29
3:00pm,29,24,29,23,21,21-29
4:00pm,29,24,29,23,21,21-29
5:00pm,29,23,28,23,22,22-29
6:00pm,29,23,28,25,23,23-29
7:00pm,28,23,28,25,24,23-28
8:00pm,28,23,27,25,23,23-28
9:00pm,28,24,27,24,22,22-28
10:00pm,28,24,27,23,21,21-28
11:00pm,28,23,27,23,20,20-28
12:00am,28,24,26,23,21,21-28
31/1/2014
1:00am,28,24,26,23,21,21-28
2:00am,28,24,26,24,21,21-28
3:00am,29,25,26,24,22,22-29
4:00am,29,25,26,25,22,22-29
5:00am,29,25,26,25,23,23-29
6:00am,30,26,26,25,23,23-30
7:00am,30,26,25,25,23,23-30
8:00am,30,26,25,26,24,24-30
9:00am,30,27,25,26,24,24-30
10:00am,30,27,25,26,24,24-30
11:00am,29,27,25,26,24,24-29
12:00pm,29,27,24,25,24,24-29
1:00pm,29,27,25,25,24,24-29
2:00pm,29,27,25,26,24,24-29
3:00pm,29,27,25,26,24,24-29
4:00pm,28,27,25,26,24,24-28
5:00pm,28,27,24,26,25,24-28
6:00pm,28,27,24,26,24,24-28
7:00pm,28,27,25,26,25,25-28
8:00pm,28,27,25,26,25,25-28
9:00pm,28,27,25,26,25,25-28
10:00pm,28,27,24,26,25,24-28
11:00pm,28,28,24,25,26,24-28
12:00am,28,28,25,25,25,25-28
1/2/2014
1:00am,28,28,24,25,25,24-28
2:00am,28,27,24,24,25,24-28
3:00am,28,27,24,24,25,24-28
4:00am,28,27,24,23,24,23-28
5:00am,28,27,24,23,24,23-28
6:00am,28,27,24,23,24,23-28
7:00am,28,27,24,23,24,23-28
8:00am,27,27,24,23,24,23-27
9:00am,27,26,24,22,24,22-27
10:00am,28,26,24,22,23,22-28
11:00am,28,26,24,22,23,22-28
12:00pm,28,26,24,22,23,22-28
1:00pm,28,26,24,22,23,22-28
2:00pm,28,26,25,22,23,22-28
3:00pm,28,25,26,23,23,23-28
4:00pm,28,25,28,25,23,23-28
5:00pm,28,25,28,27,25,25-28
6:00pm,28,25,29,28,27,25-29
7:00pm,28,26,29,27,27,26-29
8:00pm,28,25,28,26,26,25-28
9:00pm,28,26,28,26,24,24-28
10:00pm,28,25,27,25,23,23-28
11:00pm,27,25,26,24,22,22-27
12:00am,27,24,25,23,22,22-27
2/2/2014
1:00am,27,24,24,23,22,22-27
2:00am,27,24,23,23,22,22-27
3:00am,26,24,22,23,22,22-26
4:00am,26,24,22,23,22,22-26
5:00am,26,24,22,23,22,22-26
6:00am,26,23,21,24,21,21-26
7:00am,26,23,21,24,21,21-26
8:00am,25,23,21,25,21,21-25
9:00am,25,23,21,25,20,20-25
10:00am,25,22,20,25,20,20-25
11:00am,25,22,20,25,20,20-25
12:00pm,25,22,20,24,20,20-25
1:00pm,24,22,21,24,20,20-24
2:00pm,24,22,22,25,20,20-25
3:00pm,25,22,23,25,20,20-25
4:00pm,25,23,24,26,21,21-26
5:00pm,26,23,25,27,24,23-27
6:00pm,25,23,25,28,25,23-28
7:00pm,25,23,25,28,25,23-28
8:00pm,25,23,25,27,24,23-27
9:00pm,25,23,24,26,22,22-26
10:00pm,25,23,22,26,21,21-26
11:00pm,25,23,21,26,21,21-26
12:00am,25,23,20,26,21,20-26
3/2/2014
1:00am,26,23,20,26,21,20-26
2:00am,26,23,20,25,21,20-26
3:00am,26,23,20,25,21,20-26
4:00am,26,23,20,25,22,20-26
5:00am,26,23,19,25,21,19-26
6:00am,25,23,20,24,21,20-25
7:00am,25,22,20,24,21,20-25
8:00am,25,22,20,23,21,20-25
9:00am,25,22,21,23,21,21-25
10:00am,24,22,21,23,21,21-24
11:00am,24,22,20,23,21,20-24
12:00pm,24,22,20,23,21,20-24
1:00pm,24,22,20,23,21,20-24
2:00pm,24,22,20,23,21,20-24
3:00pm,24,22,20,24,21,20-24
4:00pm,24,22,23,27,25,22-27
5:00pm,26,21,26,30,28,21-30
6:00pm,27,22,27,32,31,22-32
7:00pm,27,23,28,33,32,23-33
8:00pm,26,23,27,32,32,23-32
9:00pm,24,22,26,30,31,22-31
10:00pm,24,22,25,28,29,22-29
11:00pm,24,22,24,26,26,22-26
12:00am,23,21,23,23,23,21-23
4/2/2014
1:00am,24,21,22,22,21,21-24
2:00am,23,22,22,23,20,20-23
3:00am,24,22,22,23,20,20-24
4:00am,25,22,22,23,21,21-25
5:00am,25,23,21,23,21,21-25
6:00am,26,24,22,23,21,21-26
7:00am,26,24,22,23,22,22-26
8:00am,27,25,21,24,22,21-27
9:00am,27,25,21,24,22,21-27
10:00am,28,25,22,24,22,22-28
11:00am,28,26,22,25,23,22-28
12:00pm,29,26,23,26,24,23-29
1:00pm,30,27,23,26,24,23-30
2:00pm,30,27,24,27,25,24-30
3:00pm,31,28,26,28,25,25-31
4:00pm,32,29,29,29,28,28-32
5:00pm,33,30,30,33,31,30-33
6:00pm,34,31,31,34,32,31-34
7:00pm,34,31,31,35,32,31-35
8:00pm,34,31,30,32,32,30-34
9:00pm,34,31,28,31,30,28-34
10:00pm,35,31,27,32,29,27-35
11:00pm,35,31,28,32,29,28-35
12:00am,35,32,28,32,29,28-35
5/2/2014
1:00am,35,32,28,32,29,28-35
2:00am,36,32,28,32,30,28-36
3:00am,36,32,29,33,30,29-36
4:00am,36,32,30,33,31,30-36
5:00am,36,32,30,33,31,30-36
6:00am,37,33,31,34,32,31-37
7:00am,37,33,31,34,32,31-37
8:00am,37,34,32,34,33,32-37
9:00am,38,34,32,35,33,32-38
10:00am,38,35,32,35,34,32-38
11:00am,37,35,32,35,34,32-37
12:00pm,37,35,32,35,33,32-37
1:00pm,37,35,32,34,33,32-37
2:00pm,37,35,32,34,33,32-37
3:00pm,36,34,32,34,33,32-36
4:00pm,36,34,31,33,32,31-36
5:00pm,35,33,31,33,32,31-35
6:00pm,35,33,31,34,32,31-35
7:00pm,34,33,31,33,32,31-34
8:00pm,34,33,31,31,32,31-34
9:00pm,34,33,31,31,32,31-34
10:00pm,34,33,31,31,32,31-34
11:00pm,34,33,31,31,32,31-34
12:00am,35,33,30,31,32,30-35
6/2/2014
1:00am,34,32,30,31,32,30-34
2:00am,34,32,29,30,31,29-34
3:00am,33,32,28,30,31,28-33
4:00am,32,31,28,29,30,28-32
5:00am,32,30,27,28,29,27-32
6:00am,31,29,26,28,28,26-31
7:00am,31,29,26,27,28,26-31
8:00am,30,28,25,27,27,25-30
9:00am,30,27,24,26,27,24-30
10:00am,30,27,24,26,26,24-30
11:00am,30,26,24,26,25,24-30
12:00pm,31,26,23,26,25,23-31
1:00pm,31,26,23,26,25,23-31
2:00pm,30,25,23,25,25,23-30
3:00pm,30,25,22,25,24,22-30
4:00pm,30,25,22,25,24,22-30
5:00pm,31,25,22,29,24,22-31
6:00pm,31,25,23,33,24,23-33
7:00pm,31,25,23,34,24,23-34
8:00pm,31,25,22,33,24,22-33
9:00pm,31,25,21,31,24,21-31
10:00pm,31,25,21,27,24,21-31
11:00pm,31,24,21,25,23,21-31
12:00am,30,24,20,25,23,20-30
7/2/2014
1:00am,30,24,20,25,22,20-30
2:00am,29,24,20,25,22,20-29
3:00am,29,24,20,25,22,20-29
4:00am,29,24,20,25,22,20-29
5:00am,29,24,20,25,22,20-29
6:00am,29,24,20,25,22,20-29
7:00am,29,24,20,24,22,20-29
8:00am,27,23,21,24,21,21-27
9:00am,27,24,21,24,22,21-27
10:00am,27,24,21,24,22,21-27
11:00am,27,24,20,24,23,20-27
12:00pm,27,24,21,25,23,21-27
1:00pm,27,24,21,25,23,21-27
2:00pm,27,25,21,25,23,21-27
3:00pm,27,25,21,26,23,21-27
4:00pm,28,25,22,26,25,22-28
5:00pm,27,26,22,26,27,22-27
6:00pm,27,25,22,28,27,22-28
7:00pm,27,25,22,28,26,22-28
8:00pm,27,25,23,26,24,23-27
9:00pm,27,25,23,26,24,23-27
10:00pm,28,25,23,27,24,23-28
11:00pm,28,26,23,27,24,23-28
12:00am,28,26,24,27,24,24-28
8/2/2014
1:00am,28,26,24,28,25,24-28
2:00am,29,26,26,28,26,26-29
3:00am,30,27,26,28,27,26-30
4:00am,31,28,27,29,28,27-31
5:00am,32,29,27,30,28,27-32
6:00am,33,30,28,31,28,28-33
7:00am,34,30,28,32,29,28-34
8:00am,35,32,28,33,30,28-35
9:00am,36,33,28,34,31,28-36
10:00am,36,33,29,35,32,29-36
11:00am,37,33,29,35,31,29-37
12:00pm,37,33,30,36,31,30-37
1:00pm,37,34,30,36,32,30-37
2:00pm,38,35,31,36,33,31-38
3:00pm,39,35,31,36,33,31-39
4:00pm,40,36,32,37,33,32-40
5:00pm,42,37,32,39,35,32-42
6:00pm,44,38,33,40,35,33-44
7:00pm,44,38,33,41,36,33-44
8:00pm,45,39,33,42,36,33-45
9:00pm,45,40,34,42,37,34-45
10:00pm,46,40,34,42,37,34-46
11:00pm,46,40,34,43,37,34-46
12:00am,46,40,34,43,38,34-46
9/2/2014
1:00am,46,40,34,42,37,34-46
2:00am,45,40,33,42,37,33-45
3:00am,45,39,32,42,36,32-45
4:00am,44,38,32,42,36,32-44
5:00am,43,37,32,41,35,32-43
6:00am,43,37,31,41,35,31-43
7:00am,42,37,31,40,34,31-42
8:00am,41,36,31,40,33,31-41
9:00am,40,35,31,39,33,31-40
10:00am,39,35,31,39,32,31-39
11:00am,38,34,31,38,32,31-38
12:00pm,38,34,30,37,32,30-38
1:00pm,38,33,30,37,31,30-38
2:00pm,37,33,30,37,31,30-37
3:00pm,36,32,29,37,31,29-37
4:00pm,34,31,29,35,31,29-35
5:00pm,33,30,31,34,36,30-36
6:00pm,37,29,34,32,39,29-39
7:00pm,38,29,35,33,40,29-40
8:00pm,37,29,36,33,40,29-40
9:00pm,36,30,34,32,37,30-37
10:00pm,32,30,30,33,32,30-33
11:00pm,31,31,28,34,30,28-34
12:00am,32,32,28,34,31,28-34
10/2/2014
1:00am,33,33,28,35,32,28-35
2:00am,33,34,28,35,32,28-35
3:00am,33,33,28,34,32,28-34
4:00am,33,33,28,34,32,28-34
5:00am,33,33,29,34,32,29-34
6:00am,33,33,29,34,32,29-34
7:00am,33,33,30,34,32,30-34
8:00am,34,33,29,34,32,29-34
9:00am,34,33,30,34,32,30-34
10:00am,34,33,30,34,32,30-34
11:00am,34,33,29,34,31,29-34
12:00pm,34,33,30,34,32,30-34
1:00pm,34,33,30,34,31,30-34
2:00pm,34,33,29,34,31,29-34
3:00pm,34,33,29,34,31,29-34
4:00pm,34,33,29,34,31,29-34
5:00pm,34,33,29,33,31,29-34
6:00pm,34,33,30,34,31,30-34
7:00pm,35,34,33,35,31,31-35
8:00pm,35,34,32,35,39,32-39
9:00pm,35,33,29,34,37,29-37
10:00pm,34,32,29,33,32,29-34
11:00pm,34,32,29,32,30,29-34
12:00am,32,31,29,32,29,29-32
11/2/2014
1:00am,32,29,28,32,28,28-32
2:00am,32,29,28,31,28,28-32
3:00am,32,30,28,31,29,28-32
4:00am,32,30,27,31,29,27-32
5:00am,32,30,26,31,29,26-32
6:00am,32,30,26,31,29,26-32
7:00am,32,29,26,31,29,26-32
8:00am,32,29,25,31,28,25-32
9:00am,32,29,25,31,28,25-32
10:00am,32,29,25,31,28,25-32
11:00am,33,29,25,31,29,25-33
12:00pm,33,29,25,31,29,25-33
1:00pm,33,29,25,31,29,25-33
2:00pm,33,29,25,31,28,25-33
3:00pm,33,29,25,32,28,25-33
4:00pm,34,30,25,32,28,25-34
5:00pm,35,30,26,33,29,26-35
6:00pm,35,31,26,34,28,26-35
7:00pm,35,30,26,33,27,26-35
8:00pm,35,29,26,33,26,26-35
9:00pm,35,29,26,32,27,26-35
10:00pm,35,29,26,32,27,26-35
11:00pm,35,29,26,32,27,26-35
12:00am,35,30,26,32,27,26-35
12/2/2014
1:00am,35,30,26,32,27,26-35
2:00am,35,30,26,33,27,26-35
3:00am,35,29,26,32,26,26-35
4:00am,34,29,26,32,26,26-34
5:00am,34,29,27,32,26,26-34
6:00am,34,29,27,32,26,26-34
7:00am,34,29,27,32,26,26-34
8:00am,33,29,27,32,26,26-33
9:00am,33,30,27,32,26,26-33
10:00am,33,29,27,32,26,26-33
11:00am,33,30,27,32,26,26-33
12:00pm,33,29,27,31,25,25-33
1:00pm,33,29,27,31,25,25-33
2:00pm,34,29,27,31,26,26-34
3:00pm,33,29,27,31,26,26-33
4:00pm,33,29,27,31,26,26-33
5:00pm,32,29,27,31,25,25-32
6:00pm,32,29,27,30,25,25-32
7:00pm,32,29,27,30,26,26-32
8:00pm,32,29,28,29,26,26-32
9:00pm,32,29,28,29,26,26-32
10:00pm,33,30,28,29,27,27-33
11:00pm,33,30,29,30,27,27-33
12:00am,33,30,29,30,27,27-33
13/2/2014
1:00am,34,30,29,30,28,28-34
2:00am,34,31,30,30,28,28-34
3:00am,36,32,30,31,29,29-36
4:00am,37,32,31,31,30,30-37
5:00am,37,32,32,31,30,30-37
6:00am,38,32,32,32,30,30-38
7:00am,38,33,32,31,30,30-38
8:00am,39,33,32,31,31,31-39
9:00am,39,33,33,31,31,31-39
10:00am,40,34,33,32,32,32-40
11:00am,40,34,34,32,33,32-40
12:00pm,40,34,34,32,33,32-40
1:00pm,40,34,34,32,33,32-40
2:00pm,40,34,34,32,34,32-40
3:00pm,40,34,34,33,33,33-40
4:00pm,41,34,34,33,33,33-41
5:00pm,41,34,34,33,34,33-41
6:00pm,41,34,34,33,34,33-41
7:00pm,40,33,34,33,34,33-40
8:00pm,40,33,34,33,34,33-40
9:00pm,40,33,34,32,33,32-40
10:00pm,39,33,34,32,33,32-39
11:00pm,39,32,33,32,33,32-39
12:00am,39,33,33,32,33,32-39
14/2/2014
1:00am,39,32,33,32,33,32-39
2:00am,39,33,32,32,33,32-39
3:00am,38,32,32,31,32,31-38
4:00am,37,32,31,31,32,31-37
5:00am,37,32,30,31,33,30-37
6:00am,37,33,30,31,32,30-37
7:00am,38,33,30,31,32,30-38
8:00am,37,33,30,31,32,30-37
9:00am,37,33,30,31,32,30-37
10:00am,37,33,30,32,32,30-37
11:00am,37,33,30,32,32,30-37
12:00pm,37,33,30,31,32,30-37
1:00pm,37,34,30,32,32,30-37
2:00pm,37,34,30,32,31,30-37
3:00pm,37,34,30,32,31,30-37
4:00pm,37,34,30,32,31,30-37
5:00pm,37,33,29,32,31,29-37
6:00pm,36,33,29,32,31,29-36
7:00pm,35,33,28,31,30,28-35
8:00pm,35,33,28,30,30,28-35
9:00pm,35,33,27,30,30,27-35
10:00pm,35,33,28,30,30,28-35
11:00pm,35,33,28,30,30,28-35
12:00am,35,33,28,30,30,28-35
15/2/2014
1:00am,35,33,28,31,30,28-35
2:00am,35,32,29,31,30,29-35
3:00am,35,33,29,31,30,29-35
4:00am,35,33,30,31,30,30-35
5:00am,36,33,30,31,31,30-36
6:00am,35,33,31,32,31,31-35
7:00am,35,33,31,32,31,31-35
8:00am,35,33,31,32,31,31-35
9:00am,35,33,31,32,32,31-35
10:00am,35,33,31,32,32,31-35
11:00am,35,33,31,32,32,31-35
12:00pm,35,33,31,32,32,31-35
1:00pm,35,33,31,31,31,31-35
2:00pm,35,33,32,32,31,31-35
3:00pm,35,33,32,32,32,32-35
4:00pm,34,34,32,31,32,31-34
5:00pm,34,34,33,31,33,31-34
6:00pm,34,34,33,31,33,31-34
7:00pm,36,35,33,32,34,32-36
8:00pm,37,36,34,32,35,32-37
9:00pm,37,36,34,33,35,33-37
10:00pm,37,37,34,33,36,33-37
11:00pm,37,38,35,33,36,33-38
12:00am,37,38,35,33,36,33-38
16/2/2014
1:00am,37,37,35,33,36,33-37
2:00am,37,38,34,34,37,34-38
3:00am,37,37,34,34,37,34-37
4:00am,37,37,34,34,37,34-37
5:00am,37,37,34,34,37,34-37
6:00am,37,37,34,34,37,34-37
7:00am,37,37,34,34,37,34-37
8:00am,37,37,34,34,37,34-37
9:00am,37,37,33,34,37,33-37
10:00am,37,37,33,34,37,33-37
11:00am,37,36,33,34,37,33-37
12:00pm,36,36,33,34,37,33-37
1:00pm,36,36,32,34,37,32-37
2:00pm,36,35,32,34,37,32-37
3:00pm,35,35,32,34,37,32-37
4:00pm,35,35,32,33,36,32-36
5:00pm,36,34,32,33,36,32-36
6:00pm,35,34,31,34,35,31-35
7:00pm,34,33,31,33,34,31-34
8:00pm,33,32,30,32,33,30-33
9:00pm,33,31,30,32,33,30-33
10:00pm,33,31,30,31,32,30-33
11:00pm,33,30,29,31,31,29-33
12:00am,33,30,29,31,32,29-33
17/2/2014
1:00am,34,30,29,31,32,29-34
2:00am,34,30,29,31,32,29-34
3:00am,34,30,29,31,32,29-34
4:00am,34,31,28,31,32,28-34
5:00am,35,32,28,31,32,28-35
6:00am,35,32,28,30,32,28-35
7:00am,35,32,28,30,32,28-35
8:00am,35,33,27,30,33,27-35
9:00am,36,34,27,30,33,27-36
10:00am,36,34,28,30,33,28-36
11:00am,36,34,28,31,34,28-36
12:00pm,37,34,28,31,33,28-37
1:00pm,37,35,28,31,33,28-37
2:00pm,37,35,28,31,33,28-37
3:00pm,38,35,28,31,33,28-38
4:00pm,38,35,28,31,33,28-38
5:00pm,38,35,28,31,33,28-38
6:00pm,38,36,28,31,34,28-38
7:00pm,39,36,28,32,34,28-39
8:00pm,39,36,29,32,34,29-39
9:00pm,39,37,28,33,34,28-39
10:00pm,39,37,29,33,35,29-39
11:00pm,39,37,28,33,35,28-39
12:00am,40,38,29,33,35,29-40
18/2/2014
1:00am,40,38,35,33,35,33-40
2:00am,41,39,28,33,35,28-41
3:00am,42,39,28,33,35,28-42
4:00am,42,39,28,32,36,28-42
5:00am,42,38,28,33,36,28-42
6:00am,42,39,28,33,35,28-42
7:00am,42,38,28,33,35,28-42
8:00am,43,38,28,33,35,28-43
9:00am,43,38,28,33,35,28-43
10:00am,43,38,27,33,35,27-43
11:00am,43,38,27,32,35,27-43
12:00pm,42,38,27,32,35,27-42
1:00pm,42,38,27,32,35,27-42
2:00pm,42,38,26,32,36,26-42
3:00pm,42,38,26,32,36,26-42
4:00pm,42,38,26,32,36,26-42
5:00pm,41,38,26,32,36,26-41
6:00pm,41,38,26,32,36,26-41
7:00pm,41,38,26,32,36,26-41
8:00pm,41,38,26,31,36,26-41
9:00pm,41,38,26,31,36,26-41
10:00pm,41,37,26,31,36,26-41
11:00pm,40,37,26,31,36,26-40
12:00am,39,35,26,31,35,26-39
19/2/2014
1:00am,39,35,26,31,35,26-39
2:00am,38,35,26,31,35,26-38
3:00am,37,34,26,31,34,26-37
4:00am,37,34,26,31,34,26-37
5:00am,37,34,26,31,35,26-37
6:00am,38,35,26,31,36,26-38
7:00am,38,35,27,31,36,27-38
8:00am,37,35,27,31,37,27-37
9:00am,37,35,27,31,36,27-37
10:00am,37,35,27,31,36,27-37
11:00am,37,35,27,31,36,27-37
12:00pm,37,34,27,31,36,27-37
1:00pm,37,34,27,31,36,27-37
2:00pm,37,34,27,31,35,27-37
3:00pm,37,34,27,31,35,27-37
4:00pm,38,34,27,31,35,27-38
5:00pm,38,33,27,31,35,27-38
6:00pm,38,33,27,32,34,27-38
7:00pm,38,34,27,31,34,27-38
8:00pm,38,33,27,32,34,27-38
9:00pm,37,33,27,32,33,27-37
10:00pm,37,33,27,32,33,27-37
11:00pm,37,32,27,32,32,27-37
12:00am,37,32,27,33,32,27-37
20/2/2014
1:00am,37,32,27,33,31,27-37
2:00am,36,32,27,33,31,27-36
3:00am,35,31,26,32,30,26-35
4:00am,35,31,26,32,29,26-35
5:00am,34,30,26,32,28,26-34
6:00am,33,28,26,32,26,26-33
7:00am,32,27,26,32,25,25-32
8:00am,30,26,25,32,24,24-32
9:00am,30,25,25,32,23,23-32
10:00am,30,25,25,31,23,23-31
11:00am,30,25,25,32,22,22-32
12:00pm,30,25,25,32,23,23-32
1:00pm,30,25,25,32,22,22-32
2:00pm,31,25,25,32,22,22-32
3:00pm,30,25,25,31,23,23-31
